FIRE SIZE,DC,DMC,FFMC,ISI,BUI,FWI
1.0,716.419,185.0294,93.398254,8.202879,224.86755,34.558365
0.1,716.419,185.0294,93.398254,8.202879,224.86755,34.558365
0.1,853.2267,85.1234,93.81155,10.112924,136.26108,35.96179
1.0,274.73956,62.25711,95.09593,12.410433,79.4851,32.544533
639.0,724.00793,188.14319,91.56468,7.683646,228.09955,33.12918
898.0,724.00793,188.14319,91.56468,7.683646,228.09955,33.12918
11619.0,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
0.5,296.80304,79.094345,94.27307,11.403414,94.938705,33.550964
10.5,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
870.0,724.00793,188.14319,91.56468,7.683646,228.09955,33.12918
5679.0,699.5341,181.7826,95.01252,9.651143,220.3885,38.382088
0.1,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
0.1,716.419,185.0294,93.398254,8.202879,224.86755,34.558365
12166.0,724.00793,188.14319,91.56468,7.683646,228.09955,33.12918
0.1,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
0.1,699.5341,181.7826,95.01252,9.651143,220.3885,38.382088
0.25,112.92794,45.541794,87.52704,3.538629,45.536697,9.48105
0.2,166.66469,64.636505,65.30208,0.7317362,65.635506,2.416523
6797.8,741.3882,181.735,98.72827,19.720802,225.36302,60.31079
0.1,757.3128,189.63167,93.52607,8.900279,233.24904,36.567295
1529.8,757.3128,189.63167,93.52607,8.900279,233.24904,36.567295
0.2,30.790537,10.435137,85.30312,2.7444656,11.297913,3.0139813
0.29,187.26787,71.749435,77.28758,1.0842246,73.2943,4.295491
0.1,420.93262,39.907177,87.47668,5.283885,64.52166,15.946215
0.25,380.86417,178.45103,96.11951,11.889942,178.1145,42.718983
0.51,360.3149,173.96559,95.073654,12.135263,173.57884,43.077103
0.2,380.86417,178.45103,96.11951,11.889942,178.1145,42.718983
0.1,351.13373,167.0584,94.41723,10.300983,166.72014,38.441227
0.1,380.86417,178.45103,96.11951,11.889942,178.1145,42.718983
0.2,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.2,419.39566,107.64712,83.25279,1.9812101,131.14264,10.827569
0.1,400.76257,33.361866,69.87471,0.7413326,55.22962,2.0445967
0.1,419.78738,62.801865,76.99636,1.119111,91.41399,5.253761
0.1,409.49197,199.98056,96.5572,12.214887,199.48532,44.204086
0.1,520.82294,86.96599,95.04666,11.30702,122.708084,37.28278
0.25,389.04327,102.63714,79.663445,1.2264129,123.692856,6.9488397
0.1,419.78738,62.801865,76.99636,1.119111,91.41399,5.253761
0.75,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.5,905.86224,305.05026,97.87027,15.9299345,331.23825,53.60475
0.26,812.1468,41.8299,83.7412,2.9016874,74.11633,10.775465
0.1,420.93262,39.907177,87.47668,5.283885,64.52166,15.946215
0.1,496.34055,62.169834,75.37727,1.283734,94.68874,6.1572194
0.1,418.55963,46.856586,64.57913,0.7093152,73.22097,2.5861404
0.1,413.06436,36.013798,69.49959,0.7762978,59.13755,2.3599267
0.25,488.8021,69.067375,60.135307,0.65399116,102.07644,3.1782455
0.1,529.18616,80.855255,95.45134,15.282745,117.0137,44.461784
0.3,547.86224,93.52997,96.169586,14.72914,131.10497,45.265587
0.1,481.7488,78.187485,95.7041,11.230849,111.23968,35.682465
0.3,457.84244,61.9203,90.11407,8.654761,92.54894,27.510092
0.1,457.84244,61.9203,90.11407,8.654761,92.54894,27.510092
0.1,457.84244,61.9203,90.11407,8.654761,92.54894,27.510092
0.1,457.84244,61.9203,90.11407,8.654761,92.54894,27.510092
0.1,602.10974,128.82925,94.689575,16.735514,167.8658,52.41706
0.1,516.5948,83.08467,89.62666,7.8704615,118.516426,28.88458
0.1,nan,nan,nan,nan,nan,nan
0.1,941.25055,49.38164,64.38687,0.87460285,87.31153,3.9113379
0.1,619.89966,135.16309,96.59359,16.846567,174.957,53.050087
0.1,559.19415,127.70883,95.887024,13.795591,162.588,46.11698
3.0,nan,nan,nan,nan,nan,nan
0.15,79.38292,44.91111,91.30378,7.840558,44.69821,17.594563
0.1,73.46151,40.82087,90.208694,5.37412,40.62663,12.507212
0.4,227.2653,77.78131,90.06135,4.5554295,83.83312,16.483397
0.1,241.67902,66.17679,94.35929,10.659889,78.56898,29.209148
15.9,nan,nan,nan,nan,nan,nan
0.2,nan,nan,nan,nan,nan,nan
0.01,nan,nan,nan,nan,nan,nan
0.1,593.5239,123.436195,93.04582,8.625886,162.4236,34.013622
0.1,331.77106,136.09802,97.882,24.778528,136.05981,63.256676
0.25,269.16525,131.23866,94.56854,10.158776,130.95218,35.58696
1.5,269.16525,131.23866,94.56854,10.158776,130.95218,35.58696
0.1,241.67902,66.17679,94.35929,10.659889,78.56898,29.209148
0.1,305.29938,124.72918,94.6779,11.296185,124.700226,37.485043
3.5,250.50882,73.19364,96.122,16.627289,84.59494,40.63252
0.01,458.7949,236.3204,97.401695,17.596891,235.52664,56.411335
0.3,708.6082,202.54214,96.00178,17.505724,236.25897,56.242012
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,418.55963,46.856586,64.57913,0.7093152,73.22097,2.5861404
0.35,516.5948,83.08467,89.62666,7.8704615,118.516426,28.88458
0.02,864.72034,356.21902,98.27759,20.798077,356.0461,63.168964
0.25,360.3149,173.96559,95.073654,12.135263,173.57884,43.077103
1.9,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,374.47333,76.355034,75.19375,1.3099743,101.14928,6.557802
0.25,409.49197,199.98056,96.5572,12.214887,199.48532,44.204086
0.1,360.3149,173.96559,95.073654,12.135263,173.57884,43.077103
1.25,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,619.89966,135.16309,96.59359,16.846567,174.957,53.050087
0.1,670.1722,226.55658,96.67789,23.569725,245.57072,67.55532
0.1,399.4326,192.87004,96.29735,11.35573,192.42548,41.988564
0.2,250.50882,73.19364,96.122,16.627289,84.59494,40.63252
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,449.68408,81.98304,76.40792,0.9905177,112.63099,5.368561
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.45,456.32645,131.89725,94.255104,9.263455,153.13708,35.138065
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.1,372.3094,172.52708,97.74041,13.993028,172.22766,47.089878
0.1,390.09598,186.03874,96.725075,11.93654,185.64323,43.122444
0.25,437.17004,49.15279,94.93359,12.47718,76.73618,32.09833
0.25,437.17004,49.15279,94.93359,12.47718,76.73618,32.09833
0.1,318.1118,128.55356,97.62442,33.33326,128.53906,74.2503
0.1,670.21387,160.78378,94.39462,16.025293,201.01138,52.494385
0.3,838.89014,165.32434,94.39262,15.341715,221.5123,51.583954
0.1,886.8192,366.2794,92.11917,13.925534,366.0827,49.326557
0.1,912.00684,378.2958,92.54252,14.755812,378.06128,51.154987
118.0,774.92255,295.20795,98.13989,28.829071,302.40845,76.68732
0.1,838.89014,165.32434,94.39262,15.341715,221.5123,51.583954
0.25,758.8428,241.28897,98.94405,30.80656,268.85703,79.526375
0.1,985.28906,250.23083,98.26849,38.047848,306.10825,90.243744
0.75,946.16406,221.43713,97.418945,24.471148,279.39975,69.43581
0.25,921.3628,384.33273,94.8682,16.993803,384.05502,55.843956
0.1,859.37836,59.9623,75.406296,0.9716893,102.11258,4.931585
1.0,854.18304,64.41427,81.57711,2.4055088,108.39355,11.5584135
10.0,439.63223,175.80878,90.4355,15.56676,175.83083,50.54583
0.1,653.71234,159.28197,90.55288,6.9841013,197.97105,30.620592
0.1,626.331,212.11101,92.9143,19.21995,229.7263,59.452545
1.0,683.4355,185.71742,99.25991,34.460922,221.17743,84.06596
1.0,917.9676,84.48874,85.78011,3.5282273,137.3692,17.30381
0.4,874.5277,120.218346,97.48386,28.818026,178.94075,73.79694
1.0,1053.999,236.89574,97.51607,26.435188,303.34354,72.843185
